Z     N      ε         Δ      errorΔ   Elemento
84   128   0.0000   -10.3694   0.0012   Po
86   130   0.0080   0.2530   0.0060   Rn
88   132   0.0920   10.2720   0.0080   Ra
90   134   0.1500   19.9960   0.0010   Th
92   138   0.1830   31.6150   0.0050   U
94   140   0.2000   40.3500   0.0070   Pu
96   142   0.2000   49.4450   0.0120   Cm
98   144   0.2080   59.3870   0.0130   Cf
100   146   0.2170   70.1910   0.0140   Fm
102   148   0.2170   81.5700   0.2000   No


REVISAR EL SALTO DE (90,134) A (90, 138)





















